BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,728812.23,248997.17
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24279.16,7896.75
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25437.59,7524.11
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,179.75,0
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6362.21,4480
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7830.92,2887.04
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3240.75,815.25
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,796950.92,273005.79
D000615,2020 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,796950.92,273005.79
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13630,4406.67
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13630,4406.67
D000615,2020 HON. JEFF DUNCAN,INTERN ALLOWANCES,OFFICE TOTALS:,13630,4406.67
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52362.1,37768.54
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,732653.1,242515.05
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33947.83,9006.75
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49477.08,34370.31
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65252.05,41995
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3429,3429
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5740.6,1202.87
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6533.85,2939.99
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,949395.61,373227.51
D000628,2020 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,949395.61,373227.51
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2523.38,0
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2523.38,0
D000628,2020 HON. NEAL P. DUNN,INTERN ALLOWANCES,OFFICE TOTALS:,2523.38,0
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2151.17,90.54
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,599807.5,213197.25
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17897.8,3931.55
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58734.47,18596.49
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32305.16,7871.78
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,108,0
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4785.53,1924.56
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1239.9,418.14
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,717029.53,246030.31
E000294,2020 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,717029.53,246030.31
E000294,2020 HON. TOM EMMER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11797.34,5317.34
E000294,2020 HON. TOM EMMER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11797.34,5317.34
E000294,2020 HON. TOM EMMER,INTERN ALLOWANCES,OFFICE TOTALS:,11797.34,5317.34
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,71554.54,311.97
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,707121.17,297711.2
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4860.21,1895.41
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,90785.2,33492.63
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,97865,0
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6570,2370
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11318.28,11027.65
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,292.5,97.5
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,990366.9,346906.36
E000179,2020 HON. ELIOT L. ENGEL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,990366.9,346906.36
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1695.81,273.91
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,640200.96,222712.41
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32112.91,2406.56
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71063.48,24141.32
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1555.12,487.8
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21453.95,12362.85
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16947.71,3937.48
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7389.41,2917.91
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,792419.35,269240.24
E000299,2020 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,792419.35,269240.24
E000299,2020 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24438.82,12000
E000299,2020 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24438.82,12000
E000299,2020 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,OFFICE TOTALS:,24438.82,12000
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1145.79,427.21
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,831669.6,280441.68
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17536.97,5109.59
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,169215.18,57513.24
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,366.97,12.57
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16453.76,5685
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12112.24,-696.05
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16342.61,6270.96
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1064843.12,354764.2
E000215,2020 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1064843.12,354764.2
E000215,2020 HON. ANNA G. ESHOO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11993.75,3900
E000215,2020 HON. ANNA G. ESHOO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11993.75,3900
E000215,2020 HON. ANNA G. ESHOO,INTERN ALLOWANCES,OFFICE TOTALS:,11993.75,3900
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,53029.26,20220.91
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,774772.81,262631.45
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6565.69,582.83
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,115530.52,46142.73
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,67931.67,18
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16528.04,5505
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17297.79,873.63
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11206.44,3131.04
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1062862.22,339105.59
E000297,2020 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1062862.22,339105.59
E000297,2020 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,16900,10500
E000297,2020 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,16900,10500
E000297,2020 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,OFFICE TOTALS:,16900,10500
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52422.5,1873
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,645371.23,215699.11
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26975.01,8812.13
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51376.11,20643.53
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,97355.82,1058.44
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,58912,33147
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8677.09,1801.69
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6112.51,583.26
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,947202.27,283618.16
E000298,2020 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,947202.27,283618.16
E000298,2020 HON. RON ESTES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2039.17,0
E000298,2020 HON. RON ESTES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2039.17,0
E000298,2020 HON. RON ESTES,INTERN ALLOWANCES,OFFICE TOTALS:,2039.17,0
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,122.27,-0.86
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,720053.39,259477.8
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8686.4,1680.48
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25099.02,9953.49
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1826.53,99.99
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4914,2538
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3019.38,1562.36
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13042.17,1770.17
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,776763.16,277081.43
E000296,2020 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,776763.16,277081.43
E000296,2020 HON. DWIGHT EVANS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11820,0
E000296,2020 HON. DWIGHT EVANS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,11820,0
E000296,2020 HON. DWIGHT EVANS,INTERN ALLOWANCES,OFFICE TOTALS:,11820,0
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,13823.18,13657.34
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,684594.61,228616.64
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17270.82,4509.03
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54828.51,19456.03
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,85.46,0
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17500,6465
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1643.84,257.96
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1980,660
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,791726.42,273622
F000465,2020 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,791726.42,273622
F000465,2020 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12842.77,8209.44
F000465,2020 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12842.77,8209.44
F000465,2020 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,OFFICE TOTALS:,12842.77,8209.44
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,122182.46,75373.06
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,607872.26,216750
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18471.87,3624.27
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34066.24,10315.79
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,86158.39,78135.48
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31828.18,10421.18
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4643.31,540.44
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5277.66,1130.97
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,910500.37,396291.19
F000467,2020 HON. ABBY FINKENAUER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,910500.37,396291.19
F000467,2020 HON. ABBY FINKENAUER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5546.66,1666.66
F000467,2020 HON. ABBY FINKENAUER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5546.66,1666.66
F000467,2020 HON. ABBY FINKENAUER,INTERN ALLOWANCES,OFFICE TOTALS:,5546.66,1666.66
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,70778.04,44892.83
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,626417.32,208818.08
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6582.95,3099.25
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,148800.12,33527.82
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,29536.47,23841.52
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,262.5,262.5
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11492.78,4611.21
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3492.06,1521.56
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,897362.24,320574.77
F000466,2020 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,897362.24,320574.77
F000466,2020 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20278.34,8568.34
F000466,2020 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20278.34,8568.34
F000466,2020 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,OFFICE TOTALS:,20278.34,8568.34
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,905.49,158.88
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676547.53,219188.33
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29268.84,11261.18
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,90070.69,33894.86
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,459.13,99.15
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10026.39,3324.87
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5204.49,1877.41
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1189.67,76.5
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,813672.23,269881.18
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,813672.23,269881.18
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,105706.67,66859.7
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,651662.47,211379.16
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23895.14,5309.98
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15590.54,8122.13
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,146780.5,91854.13
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19069.8,5179.8
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6202.81,749.17
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2814.75,1747.77
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,971722.68,391201.84
F000468,2020 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,971722.68,391201.84
F000468,2020 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20091.23,12656.06
F000468,2020 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20091.23,12656.06
F000468,2020 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,OFFICE TOTALS:,20091.23,12656.06
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,78.11,117.57
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,725442.28,226975.26
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21250.46,5611.88
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71062.95,21176.6
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,368.35,0
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19541.95,6555
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18817.43,846.57
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1967.4,655.8
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,858528.93,261938.68
F000461,2020 HON. BILL FLORES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,858528.93,261938.68
F000461,2020 HON. BILL FLORES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1933.33,0
F000461,2020 HON. BILL FLORES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1933.33,0
F000461,2020 HON. BILL FLORES,INTERN ALLOWANCES,OFFICE TOTALS:,1933.33,0
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9650.4,4210.19
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,744470.42,243025.55
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32174.96,14333.86
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,139273.75,47059.35
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32548.65,19561.21
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17419.97,5844.98
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14432.18,4678.53
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,20309.49,4388.68
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1010279.82,343102.35
F000449,2020 HON. JEFF FORTENBERRY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1010279.82,343102.35
F000449,2020 HON. JEFF FORTENBERRY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7231.78,2765.11
F000449,2020 HON. JEFF FORTENBERRY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7231.78,2765.11
F000449,2020 HON. JEFF FORTENBERRY,INTERN ALLOWANCES,OFFICE TOTALS:,7231.78,2765.11
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,169.81,30
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,719246.78,237533.35
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8444.56,677.22
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,60134.56,20077.88
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,131.3,54.9
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18721.48,7301.45
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8983.56,1134.98
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6984.15,5368.05
F000454,2020 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,822816.2,272177.83
